"date","time","location_X","location_Y","lat","lon","mag","place","type"
"2023-01-22","02:13:36",250944.163597377,583557.292103279,53.23,6.824,0.3,"Schildwolde","induced earthquake"
"2023-01-15","09:49:09",244774.300123019,599134.00928317,53.371,6.736,1.8,"Garsthuizen","induced earthquake"
"2023-01-03","09:38:31",244774.300123019,599134.00928317,53.371,6.736,1.3,"Garsthuizen","induced earthquake"
"2022-12-28","21:33:14",238405.73912122,586328.908645485,53.257,6.637,0.4,"Thesinge","induced earthquake"
"2022-12-26","16:18:17",244389.357858479,594785.329024934,53.332,6.729,1,"Loppersum","induced earthquake"
"2022-12-22","23:04:47",246986.847476828,580919.689707597,53.207,6.764,1.9,"Froombosch","induced earthquake"
"2022-12-20","14:51:23",247831.876387806,592513.018356148,53.311,6.78,0.4,"Garrelsweer","induced earthquake"
"2022-12-14","20:08:37",245337.498991702,583337.379363758,53.229,6.74,1,"Woudbloem","induced earthquake"
"2022-12-06","11:08:43",248980.109702262,591756.1303433,53.304,6.797,1.7,"Wirdum","induced earthquake"
"2022-12-04","15:36:02",252222.998911102,576458.592457022,53.166,6.841,0.9,"Zuidbroek","induced earthquake"
"2022-12-04","07:31:42",238886.452132204,585558.085127689,53.25,6.644,0.6,"Garmerwolde","induced earthquake"
"2022-11-03","18:29:53",236520.272990692,587298.360042121,53.266,6.609,0.6,"Zuidwolde","induced earthquake"
"2022-10-26","07:16:28",248678.707326529,593531.36967975,53.32,6.793,1.1,"Wirdum","induced earthquake"
"2022-10-22","14:32:51",248678.707326529,593531.36967975,53.32,6.793,1,"Wirdum","induced earthquake"
"2022-10-22","10:14:04",248747.514191422,593421.393042764,53.319,6.794,2.2,"Wirdum","induced earthquake"
"2022-10-14","22:02:28",247146.175951335,593501.678655949,53.32,6.77,0.4,"Garrelsweer","induced earthquake"
"2022-10-13","16:08:48",247485.773004135,593174.254485425,53.317,6.775,1.4,"Wirdum","induced earthquake"
"2022-10-11","15:36:39",241652.36473176,602416.093117724,53.401,6.69,1.3,"Uithuizen","induced earthquake"
"2022-10-08","05:35:36",247214.947549541,593391.680236899,53.319,6.771,1.2,"Garrelsweer","induced earthquake"
"2022-10-08","02:17:17",247281.581021625,593392.961914459,53.319,6.772,3.1,"Wirdum","induced earthquake"
"2022-09-24","11:37:29",241722.906628924,602194.730361294,53.399,6.691,1.7,"Uithuizen","induced earthquake"
"2022-09-24","10:20:38",241791.436011191,602084.652555328,53.398,6.692,2.7,"Uithuizen","induced earthquake"
"2022-09-22","04:07:39",253240.906397438,588835.766096215,53.277,6.86,1.1,"Tjuchem","induced earthquake"
"2022-09-19","19:38:40",248295.113450743,599535.281155534,53.374,6.789,0.8,"'t Zandt","induced earthquake"
"2022-09-19","08:03:56",241656.395882652,602193.525263803,53.399,6.69,0.7,"Uithuizen","induced earthquake"
"2022-09-18","04:10:00",240797.741390653,601844.090872394,53.396,6.677,0.8,"Uithuizen","induced earthquake"
"2022-09-09","00:39:11",241924.460537998,602087.067413002,53.398,6.694,2.3,"Uithuizen","induced earthquake"
"2022-08-28","03:18:59",241922.438796228,602198.351201089,53.399,6.694,1.3,"Uithuizen","induced earthquake"
"2022-08-19","05:49:14",241922.438796228,602198.351201089,53.399,6.694,1.9,"Uithuizen","induced earthquake"
"2022-08-09","03:50:08",250855.205934222,584668.709162199,53.24,6.823,0.1,"Schildwolde","induced earthquake"
"2022-07-16","09:14:40",246508.249788767,595493.228737643,53.338,6.761,0.9,"Loppersum","induced earthquake"
"2022-07-15","18:31:22",246358.069755917,596380.929563421,53.346,6.759,0.3,"Zeerijp","induced earthquake"
"2022-07-13","16:52:27",245664.639224,587239.61525872,53.264,6.746,0.4,"Luddeweer","induced earthquake"
"2022-07-04","18:19:30",245931.05803974,597819.979261948,53.359,6.753,1.1,"Zeerijp","induced earthquake"
"2022-06-16","20:17:31",242921.455345133,583960.486416388,53.235,6.704,0.9,"Harkstede","induced earthquake"
"2022-06-11","11:09:54",244528.88647199,598016.20823696,53.361,6.732,0.7,"Zeerijp","induced earthquake"
"2022-06-10","01:42:37",241720.886536943,598632.460935247,53.367,6.69,0.5,"Eppenhuizen","induced earthquake"
"2022-06-08","21:04:24",247533.082735115,594177.051989311,53.326,6.776,0.2,"Wirdum","induced earthquake"
"2022-05-10","04:15:08",245929.916094174,594369.02156361,53.328,6.752,0.6,"Loppersum","induced earthquake"
"2022-05-09","03:38:52",247599.705321129,594178.338147414,53.326,6.777,0.4,"Wirdum","induced earthquake"
"2022-05-05","09:05:00",244586.407949079,584213.851748848,53.237,6.729,1.8,"Lageland","induced earthquake"
"2022-04-17","13:44:19",243286.628488683,596768.635509275,53.35,6.713,0.7,"Westeremden","induced earthquake"
"2022-04-17","13:27:46",243417.74746044,596882.372639803,53.351,6.715,1.6,"Westeremden","induced earthquake"
"2022-04-17","06:33:42",237593.488432885,586982.754262849,53.263,6.625,0.6,"Zuidwolde","induced earthquake"
"2022-04-13","07:19:27",244664.107546278,597907.417088371,53.36,6.734,0.5,"Zeerijp","induced earthquake"
"2022-04-01","17:11:08",245848.533866735,595146.718772898,53.335,6.751,2.7,"Loppersum","induced earthquake"
"2022-03-30","19:18:41",242787.88882786,598540.581400852,53.366,6.706,0.5,"Startenhuizen Lopp","induced earthquake"
"2022-03-06","13:18:30",244732.762672684,597797.382234881,53.359,6.735,2.1,"Zeerijp","induced earthquake"
"2022-03-01","19:40:23",243378.727635148,598996.728393329,53.37,6.715,0.7,"Garsthuizen","induced earthquake"
"2022-03-01","17:32:08",243243.566267055,599105.555878474,53.371,6.713,0.2,"Startenhuizen Lopp","induced earthquake"
